No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
ORG000500,Cocemfe Navarra,COCEMFE NAVARRA,"Regulación de las actividades sanitarias, educativas y culturales y otros servicios sociales, excepto Seguridad Social",8412,1,1,0,,
EMP004897,"Cofely, S.A.","COFELY, S.A.",Servicios integrales a edificios e instalaciones,8110,2,0,2,,1726.58
ORG000157,Colegio Oficial de Ingenieros Industriales,COIINA,Actividades de organizaciones profesionales,9412,3,0,3,,22572.00
EMP004633,"Comantur, S.L.","COMANTUR, S.L.",Reparación de maquinaria,3312,1,1,0,,1159.92
EMP004759,"Comercial Pacona 2014, S.L.","COMERCIAL PACONA 2014, S.L.","Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",4639,2,0,2,,7670.88
EMP002225,"Comercial Señorío de Sarría, S.A.","COMERCIAL SEÑORÍO DE SARRÍA, S.A.",Otro comercio al por menor de productos alimenticios en establecimientos especializados,4729,2,1,1,,786.50
EMP000316,"Complementos de Piensos Compuestos, S.A.","CPC FEED COMPLEMENTOS DE PIENSOS COMPUESTOS, S.A.",Fabricación de productos para la alimentación de animales de granja,1091,2,0,2,,4188.64
EMP000317,"Computadores Navarra, S.A.",CONASA,Actividades de consultoría informática,6202,3,2,1,,5095.47
ORG000067,Confederación de Empresarios de Navarra,CEN,Otras actividades asociativas n.c.o.p.,9499,,0,0,1,
EMP000325,"Congelados Navarra, S.A.","CONGELADOS NAVARRA, S.A.",Actividades de apoyo a la agricultura,161,2,0,2,,10227.21
INS000150,Consejo de la Juventud de Navarra,CONSEJO DE LA JUVENTUD DE NAVARRA,Otras actividades recreativas y de entretenimiento,9329,2,2,0,,
EMP000336,"Construcciones ACR, S.A.","CONSTRUCCIONES ACR, S.A.",Construcción de edificios residenciales,4121,2,1,1,,9377.36
EMP000601,"Consultores Grupo Delta Pamplona, S.L.",DELTA CONSULTORES,Otras actividades de consultoría de gestión empresarial,7022,3,0,3,,4883.61
EMP000347,Consultoría y Comunicaciones de Navarra S.L.,CYC,Actividades de programación informática,163,1,0,1,,12799.41
EMP004732,Cooperativa Agrícola Caja Rural de Artajona,COOPERATIVA AGRÍCOLA CAJA RURAL DE ARTAJONA,"Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",4621,1,1,0,,393.25
EMP002219,"Cooperativa Farmacéutica Navarra, Nafarco","COOPERATIVA FARMACÉUTICA NAVARRA, NAFARCO",Comercio al por mayor de productos farmacéuticos,4646,1,1,0,1,1393.25
ORG000491,Coordinadora de ONGD de Navarra,COORDINADORA DE ONGD DE NAVARRA,Otras actividades asociativas n.c.o.p.,9499,2,2,0,,
EMP001798,"Creaciones Falcón, S.L.",MOBEDUC,Fabricación de otros muebles,3109,1,0,1,,13664.17
INS000151,Cruz Roja Española en Navarra,CRUZ ROJA ESPAÑOLA EN NAVARRA,Otras actividades de servicios sociales sin alojamiento n.c.o.p.,8899,4,4,0,,
EMP004724,"Cuatrecasas Goncalves Pereira, S.L.P.","CUATRECASAS GONCALVES PEREIRA, S.L.P.",Actividades jurídicas,6910,4,3,1,,8998.98
EMP000376,"Dana Automoción, S.A.","DANA AUTOMOCIÓN, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,2,1,1,,7633.61
EMP004893,"Das-Nano, S.L.","DAS-NANO, S.L.",Fabricación de otros productos químicos n.c.o.p.,2059,3,0,3,,14051.91
INS000041,Defensor del Pueblo de Navarra,DEFENSOR DEL PUEBLO DE NAVARRA,Actividades generales de la Administración Pública,8411,4,0,4,,33984.87
EMP000083,"Deloitte, S.L.","DELOITTE, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,1180.75
EMP000382,"Delphi Packard España, S.L.U.","DELPHI PACKARD ESPAÑA, S.L.U.",Fabricación de equipos eléctricos y electrónicos para vehículos de motor,2931,1,1,0,,9675.26
EMP002033,"Deutsche Bank, S.A.E.","DEUTSCHE BANK, S.A.E.",Otra intermediación monetaria,6419,1,0,1,,3250.06
EMP004280,"Diario de Navarra Digital, S.L.","DIARIO DE NAVARRA DIGITAL, S.L.",Edición de periódicos,5813,1,0,1,,15792.80
EMP000386,"Diario de Navarra, S.A.","DIARIO DE NAVARRA, S.A.",Impresión de periódicos,1811,5,3,2,,1573.00
INS000285,Dirección General de Comercio Internacional e,DIRECCIÓN GENERAL DE COMERCIO INTERNACIONAL E,Asuntos exteriores,8421,5,0,5,,0.00
EMP003811,"Disbaor, S.A.","DISBAOR, S.A.","Comercio al por mayor de ferretería, fontanería y calefacción",4674,2,1,1,,6220.98
EMP002931,"Distribuidora de Gases Iruña, S.L.","DISTRIBUIDORA DE GASES IRUÑA, S.L.",Transporte de mercancías por carretera,4941,,0,0,1,1203.95
